id	title	description	link	image_link	price	availability	condition	brand	google_product_category	shipping	identifier_exists
samoan-handcrafted-coconut-bowl	Samoan Handcrafted Coconut Bowl	Handcrafted from sustainably harvested coconut shells by Samoan artisans. Unique, eco-friendly, and perfect for serving salads, snacks, or as a decorative piece. Polished smooth with natural oils.	https://ecomafola.com/products/samoan-handcrafted-coconut-bowl	https://cdn.shopify.com/s/files/1/0686/4375/3417/products/samoan-handcrafted-coconut-bowl.jpg	29.99 USD	in stock	new	EcoMafola Peace	Home & Garden > Kitchen & Dining > Dinnerware	US::Standard Shipping:Free	FALSE
samoan-handwoven-grass-tote-bag	Samoan Handwoven Grass Tote Bag	Woven by hand from natural grass fibers in the tradition of Samoan craftswomen. Durable, spacious, and eco-friendly. Perfect for the beach, market, or everyday use.	https://ecomafola.com/products/samoan-handwoven-grass-tote-bag	https://cdn.shopify.com/s/files/1/0686/4375/3417/products/samoan-handwoven-grass-tote-bag.jpg	49.99 USD	in stock	new	EcoMafola Peace	Apparel & Accessories > Handbags, Wallets & Cases > Handbags	US::Standard Shipping:Free	FALSE
handwoven-papua-new-guinea-beach-bag	Handwoven Papua New Guinea Beach Bag	An extraordinary handwoven beach bag from Papua New Guinea artisans. Made from natural plant fibers using age-old weaving techniques. A functional carry-all and a collectors piece of Pacific heritage.	https://ecomafola.com/products/handwoven-papua-new-guinea-beach-bag	https://cdn.shopify.com/s/files/1/0686/4375/3417/products/handwoven-papua-new-guinea-beach-bag.jpg	259.99 USD	in stock	new	EcoMafola Peace	Apparel & Accessories > Handbags, Wallets & Cases > Handbags	US::Standard Shipping:Free	FALSE
samoan-handcrafted-shell-necklace	Ocean Whisper Seashell Necklace	Handcrafted from genuine Pacific shells on a durable cord. Carries the spirit of the South Pacific Ocean. Lightweight, hypoallergenic, and beautifully unique.	https://ecomafola.com/products/samoan-handcrafted-shell-necklace	https://cdn.shopify.com/s/files/1/0686/4375/3417/products/samoan-handcrafted-shell-necklace.jpg	24.99 USD	in stock	new	EcoMafola Peace	Apparel & Accessories > Jewelry > Necklaces	US::Standard Shipping:Free	FALSE
samoan-woven-basket	Samoan Woven Basket	Traditionally woven by Samoan artisans from pandanus leaves. Perfect for storage, gifting, or home decoration. A sustainable alternative to plastic, rooted in Pacific Island culture.	https://ecomafola.com/products/samoan-woven-basket	https://cdn.shopify.com/s/files/1/0686/4375/3417/products/samoan-woven-basket.jpg	39.99 USD	in stock	new	EcoMafola Peace	Home & Garden > Decor > Baskets	US::Standard Shipping:Free	FALSE
natural-coir-handwoven-coconut-palm-doormat	Natural Coir Handwoven Coconut Palm Doormat	Made from natural coconut palm coir fiber. Durable, biodegradable, and anti-slip. Keeps your entryway clean while making an eco-conscious style statement.	https://ecomafola.com/products/natural-coir-handwoven-coconut-palm-doormat	https://cdn.shopify.com/s/files/1/0686/4375/3417/products/natural-coir-handwoven-coconut-palm-doormat.jpg	39.99 USD	in stock	new	EcoMafola Peace	Home & Garden > Decor > Doormats & Floor Mats	US::Standard Shipping:Free	FALSE
samoan-handcrafted-natural-shell-coasters	Tapa Sun Coaster Set 4pc	Set of 4 coasters handcrafted with natural shells inspired by Samoan tapa patterns. Protects surfaces in style. Unique and perfect for gifting.	https://ecomafola.com/products/samoan-handcrafted-natural-shell-coasters	https://cdn.shopify.com/s/files/1/0686/4375/3417/products/samoan-handcrafted-natural-shell-coasters.jpg	15.99 USD	in stock	new	EcoMafola Peace	Home & Garden > Kitchen & Dining > Table Linens, Napkins & Tablecloths	US::Standard Shipping:Free	FALSE
polynesian-rattan-chandelier	Polynesian Artisan Rattan Chandelier	Stunning rattan chandelier handwoven by Polynesian artisans. Brings warmth, texture, and island-inspired elegance to any dining room, living space, or entryway.	https://ecomafola.com/products/polynesian-rattan-chandelier	https://cdn.shopify.com/s/files/1/0686/4375/3417/products/polynesian-rattan-chandelier.jpg	148.99 USD	in stock	new	EcoMafola Peace	Home & Garden > Lighting > Ceiling Lights & Fans > Chandeliers	US::Standard Shipping:Free	FALSE
artisan-rattan-coastal-mirror	Artisan Rattan Coastal Mirror	Handwoven rattan frame with a crystal-clear mirror. Blends coastal charm with artisan craftsmanship. Perfect for entryways, bedrooms, or bohemian living rooms.	https://ecomafola.com/products/artisan-rattan-coastal-mirror	https://cdn.shopify.com/s/files/1/0686/4375/3417/products/artisan-rattan-coastal-mirror.jpg	98.99 USD	in stock	new	EcoMafola Peace	Home & Garden > Decor > Mirrors	US::Standard Shipping:Free	FALSE
mother-of-pearl-inlaid-tray	Nacre Artisan Mother of Pearl Tray	Luxurious serving tray with intricate mother-of-pearl inlay by Pacific artisans. Ideal for serving, display, or as a centerpiece. Natural beauty meets traditional craftsmanship.	https://ecomafola.com/products/mother-of-pearl-inlaid-tray	https://cdn.shopify.com/s/files/1/0686/4375/3417/products/mother-of-pearl-inlaid-tray.jpg	88.99 USD	in stock	new	EcoMafola Peace	Home & Garden > Kitchen & Dining > Serveware	US::Standard Shipping:Free	FALSE
handwoven-seagrass-basket	Artisan-Woven Seagrass Archive Basket	Artisan-woven from sustainably harvested seagrass. Ideal for organizing blankets, magazines, or household items. Natural, durable, and beautifully textured.	https://ecomafola.com/products/handwoven-seagrass-basket	https://cdn.shopify.com/s/files/1/0686/4375/3417/products/handwoven-seagrass-basket.jpg	38.99 USD	in stock	new	EcoMafola Peace	Home & Garden > Decor > Baskets	US::Standard Shipping:Free	FALSE
